City.name,gdp_obs,gdp_proj,digi_read,digi_math,pisa_math,pisa_read,pisa_sci,top_mathers,citi_score,weight_score
Shanghai,197.44446330000002,165.8403438,106.93436729999999,113.6433348,129.2390949,119.1244152,120.45728909999998,509.8720368,111.08031470000002,859.0710496700001
Hong Kong,197.44446330000002,165.8403438,110.66576459999999,111.0919146,118.38940359999998,113.89832709999999,115.2287612,310.0786523,132.0169185,578.85429815
Warsaw,115.5210105,86.51210113,95.97960216,98.84379112,109.16279399999999,108.37423700000001,109.1819976,153.9606028,108.172453,496.81779147500004
Krakow,115.5210105,86.51210113,95.97960216,98.84379112,109.16279399999999,108.37423700000001,109.1819976,153.9606028,87.81742154,476.462760015
Singapore,0.0,0.0,114.1202193,114.40389850000001,120.9686392,113.3996818,114.5135817,368.34517569999997,138.0264992,458.0855256499999
